[公共事件 | 序章] 旁白/未命名: 在多元宇宙的無盡象限之中，存在著一個凡人肉眼無法觀測的維度
[公共事件 | 森林劇情2] 米勒: 出沒？
[公共事件 | 森林劇情2] 歐文: (苦笑著把劍插回背後） 
[公共事件 | 森林劇情2] 歐文: 所以我才差點陰溝裡翻船啊。 
[公共事件 | 森林劇情2] 歐文: 本來以為在這裡很安全，誰知道草叢裡突
[公共事件 | 森林劇情2] 歐文: 然就跳出那種煞星。
[公共事件 | 森林劇情2] 歐文: （抓了抓頭，語氣帶點嘲弄） 
[公共事件 | 森林劇情2] 歐文: 除非......那個可笑的「失心咒」是真的？哈，怎
[公共事件 | 森林劇情2] 歐文: 麼可能。
[公共事件 | 森林劇情2] 莉娜: 失心咒？那是什麼？
[公共事件 | 森林劇情2] 歐文: 酒館裡的醉話罷了。說是王都有人中了邪，會像夢
[公共事件 | 森林劇情2] 歐文: 遊一樣一路走到這座森林。
[公共事件 | 森林劇情2] 歐文: 然後「碰」的一聲變成了狼人。
[公共事件 | 森林劇情2] 歐文: 不過聽聽就好，這簡直是吟遊詩人編來騙小孩睡
[公共事件 | 森林劇情2] 歐文: 覺的鬼故事。人類怎麼可能走一走就變成狼？又不
[公共事件 | 森林劇情2] 歐文: 是什麼三流小說。
[公共事件 | 森林劇情2] 米勒: 確實。那種違反生物學和魔法原理的傳聞，實在很
[公共事件 | 森林劇情2] 米勒: 難令人信服。 
[公共事件 | 森林劇情2] 米勒: 比起人類變成的......我更傾向相信這隻狼人單純
[公共事件 | 森林劇情2] 米勒: 是腦子壞了，迷路跑出來的。
[公共事件 | 森林劇情2] 歐文: （聳聳肩） 
[公共事件 | 森林劇情2] 歐文: 誰知道呢？反正不管它是迷路還是夢遊，這裡已經
[公共事件 | 森林劇情2] 歐文: 不安全了倒是真的。
[公共事件 | 森林劇情2] 歐文: 算了，反正謝啦。作為幫我解圍的回禮，告訴你們
[公共事件 | 森林劇情2] 歐文: 個好消息。
[公共事件 | 森林劇情2] 歐文: 就在西北方不遠的地方。沒看錯的話。
[公共事件 | 森林劇情2] 歐文: 那是天然生成的「轉職水晶」。在這種荒郊野外可
[公共事件 | 森林劇情2] 歐文: 是稀有貨。
[公共事件 | 森林劇情2] 悠真: 轉職水晶？
[公共事件 | 森林劇情2] 歐文: (以為悠真是因為有轉職水晶而感到驚訝)
[公共事件 | 森林劇情2] 歐文: 對啊, 機會難得, 別浪費了。
[公共事件 | 森林劇情2] 歐文: 好了，我要走了。剛才那隻狼人壞了我的興致。
[公共事件 | 森林劇情2] 歐文: 有緣再見啦，小鬼們。記住了, 森林的出口在東
[公共事件 | 森林劇情2] 歐文: 北方。
[公共事件 | 森林劇情2] 悠真: 所以轉職水晶？那是什麼東西？能吃的嗎？
[公共事件 | 森林劇情2] 莉娜: (莉娜走到悠真面前，雙手抱胸，無奈地嘆了口氣)
[公共事件 | 森林劇情2] 莉娜: 唉......悠真，你這缺乏常識的程度，有時候真讓
[公共事件 | 森林劇情2] 莉娜: 人擔心呢。
[公共事件 | 森林劇情2] 莉娜: 豎起耳朵聽好了，本小姐只教一次喔。
[公共事件 | 森林劇情2] 悠真: 是、是......請莉娜老師賜教。
[公共事件 | 森林劇情2] 莉娜: 聽好了，這是突破極限的儀式。凡人每升 20 級就
[公共事件 | 森林劇情2] 莉娜: 會遇到瓶頸，必須靠水晶才能繼續變強。
[公共事件 | 森林劇情2] 悠真: 原來如此！是那種老遊戲才有的轉職設定。
[公共事件 | 森林劇情2] 莉娜: 不過一個人一生最多只能轉職 3 次, 最後一次轉職
[公共事件 | 森林劇情2] 莉娜: 是60級。
[公共事件 | 森林劇情2] 莉娜: 通常這可是我們要花大錢才能做的儀式，這裡居然
[公共事件 | 森林劇情2] 莉娜: 免費......
[公共事件 | 森林劇情2] 米勒: 確實是天上掉下來的運氣。
[公共事件 | 森林劇情2] 莉娜: 所以快點走吧, 沒想到運氣居然那麼好。
[公共事件 | 森林劇情3] ???: 紅色轉職水晶在眾人面前靜靜懸浮，散發著誘人的光芒。
[公共事件 | 森林劇情3] 悠真: （雙眼發光，興奮地搓著手）
[公共事件 | 森林劇情3] 悠真: 喔喔喔！這就是轉職水晶嗎？
[公共事件 | 森林劇情3] 悠真: 光看這特效就知道是高級貨！終於啊，我就知道這
[公共事件 | 森林劇情3] 悠真: 遊戲還是有良心的。
[公共事件 | 森林劇情3] 莉娜: 瞧你那副沒見過世面的樣子。
[公共事件 | 森林劇情3] 悠真: 妳懂什麼？轉職就意味著新技能、新天賦樹，說不
[公共事件 | 森林劇情3] 悠真: 定還能覺醒什麼「魔龍破天」之類的必殺技！
[公共事件 | 森林劇情3] 悠真: 大叔誠不欺我，這波血賺！（伸出手準備觸摸水晶）
[公共事件 | 森林劇情3] 悠真: 來吧，力量！
[公共事件 | 森林劇情3] 米勒: （突然伸手擋在悠真面前，語氣冷靜得像是在潑冷
[公共事件 | 森林劇情3] 米勒: 水）等一下，悠真。
[公共事件 | 森林劇情3] 米勒: 在你接觸它之前，有一項關鍵的「支付條款」必須
[公共事件 | 森林劇情3] 米勒: 先確認。
[公共事件 | 森林劇情3] 悠真: （動作停在半空，笑容僵住）
[公共事件 | 森林劇情3] 悠真: ……支付條款？這玩意要收錢？
[公共事件 | 森林劇情3] 米勒: 不是金錢。根據法則，轉職雖然能提升靈魂的階
[公共事件 | 森林劇情3] 米勒: 級，但必須消耗大量的能量來重塑容器。
[公共事件 | 森林劇情3] 米勒: 而這股能量，將直接從你的「現有經驗值」中扣除。
[公共事件 | 森林劇情3] 悠真: （收回手，臉色瞬間垮下來）
[公共事件 | 森林劇情3] 悠真: ……蛤？你再說一遍？
[公共事件 | 森林劇情3] 米勒: 簡單來說，轉職後，您的等級數值會顯著下降。
[公共事件 | 森林劇情3] 悠真: （抱頭崩潰，指著水晶大罵）
[公共事件 | 森林劇情3] 悠真: 我就知道！我就知道這世界沒這麼好的事！
[公共事件 | 森林劇情3] 悠真: 這什麼黑心設定啊？轉職不是應該送屬性點嗎？
[公共事件 | 森林劇情3] 悠真: 為什麼還要倒扣經驗？這根本就是詐欺！我要投
[公共事件 | 森林劇情3] 悠真: 訴！
[公共事件 | 森林劇情3] 悠真: 那個大叔根本是想害我變回一級小號被怪虐死吧！
[公共事件 | 森林劇情3] 莉娜: （看著悠真氣急敗壞的樣子，幸災樂禍地冷笑）
[公共事件 | 森林劇情3] 莉娜: 哼，吵死了。都說了這是為了「重塑容器」。
[公共事件 | 森林劇情3] 莉娜: 你以為變強不需要代價嗎？
[公共事件 | 森林劇情3] 悠真: 這代價也太大了吧！我辛辛苦苦練上來的等級啊！
[公共事件 | 森林劇情3] 悠真: 就像辛辛苦苦存錢買了房子，結果交屋的時候發現
[公共事件 | 森林劇情3] 悠真: 坪數被公設比吃掉了一半，這誰能接受啊！
[公共事件 | 森林劇情3] 米勒: （推了推並不存在的眼鏡，搖了搖頭）
[公共事件 | 森林劇情3] 米勒: 不，悠真，你的比喻不準確。這不是公設比的問題。
[公共事件 | 森林劇情3] 悠真: 不然是什麼？
[公共事件 | 森林劇情3] 米勒: 請想像你原本的靈魂是一個又短又細的量筒，裡面
[公共事件 | 森林劇情3] 米勒: 裝著一公升的水。這裡的水位高度，代表你的等級
[公共事件 | 森林劇情3] 悠真: ……量筒？
[公共事件 | 森林劇情3] 米勒: 轉職的過程，就是將這個容器「擴建」。
[公共事件 | 森林劇情3] 米勒: 現在，你的靈魂從細長的量筒，變成了一個寬底的
[公共事件 | 森林劇情3] 米勒: 大水桶。
[公共事件 | 森林劇情3] 米勒: 水的總量（經驗值）雖然暫時看起來變少了——也就
[公共事件 | 森林劇情3] 米勒: 是水位下降了。
[公共事件 | 森林劇情3] 米勒: 但那是因為容器的底面積（基礎能力值）大幅提
[公共事件 | 森林劇情3] 米勒: 升了。
[公共事件 | 森林劇情3] 莉娜: 聽懂了嗎？笨蛋。雖然水位低了，但現在的你，同
[公共事件 | 森林劇情3] 莉娜: 等級下的容量上限比以前大得多。
[公共事件 | 森林劇情3] 莉娜: 以前那個破量筒稍微裝點水就滿了（遇到瓶頸），
[公共事件 | 森林劇情3] 莉娜: 現在換成水桶，同等級之下才能裝下更多的力量。
[公共事件 | 森林劇情3] 悠真: （愣住，摸著下巴思考）量筒變水桶……水位下降
[公共事件 | 森林劇情3] 悠真: 但面積提升…
[公共事件 | 森林劇情3] 悠真: …喔，原來是「數值壓縮」加「擴充上限」的概念？
[公共事件 | 森林劇情3] 米勒: 可以這麼理解。而且，我們必須在這裡完成轉職。
[公共事件 | 森林劇情3] 悠真: 為什麼？既然會掉等級，晚點再轉不行嗎？
[公共事件 | 森林劇情3] 米勒: (實話實說)
[公共事件 | 森林劇情3] 米勒: 因為在別的地方要錢
[公共事件 | 森林劇情3] 悠真: ......
[公共事件 | 王都劇情1] 悠真: 喔... 跑了這麼久的地圖，終於看到一點高級場景
[公共事件 | 王都劇情1] 悠真: 了。
[公共事件 | 王都劇情1] 悠真: 這王都的建模等級跟之前的數學村完全不是一個層次
[公共事件 | 王都劇情1] 悠真: 的啊。
[公共事件 | 王都劇情1] 悠真: 這規模！
[公共事件 | 王都劇情1] 悠真: 這繁榮感！
[公共事件 | 王都劇情1] 悠真: (滿意)
[公共事件 | 王都劇情1] 悠真: 這才叫大城市嘛。
[公共事件 | 王都劇情1] 莉娜: （優雅地撥了撥頭髮，神情恢復了幾分自信） 
[公共事件 | 王都劇情1] 莉娜: 哼，這可是阿爾卡迪亞，世界秩序的頂點。
[公共事件 | 王都劇情1] 米勒: 雖然但是, 這一次的王都之旅, 真的會那麼順利了。
[公共事件 | 王都劇情1] 米勒: 按照我們之前的遭遇頻率，進入新地圖通常意味著
[公共事件 | 王都劇情1] 米勒: 新的災難。這裡安靜得讓我有點不安。
[公共事件 | 王都劇情1] 莉娜: （猛地轉過身，雙手握拳，背景彷彿燃燒著購物
[公共事件 | 王都劇情1] 莉娜: 慾的火焰）吵死了！你這個烏鴉嘴！ 
[公共事件 | 王都劇情1] 莉娜: 管他順不順利的, 老娘要大買得買！
[公共事件 | 王都劇情1] 米勒: （愣住）
[公共事件 | 王都劇情1] 米勒: 哈？
[公共事件 | 王都劇情1] 莉娜: （崩潰地捧著自己的臉頰，語速極快）
[公共事件 | 王都劇情1] 莉娜: 你們根本不懂！在地道和森林那種鬼地方待了那麼
[公共事件 | 王都劇情1] 莉娜: 久。
[公共事件 | 王都劇情1] 莉娜: 我的化妝品庫存已經見底了！
[公共事件 | 王都劇情1] 莉娜: 看看這乾燥的空氣！再不補貨，本小姐的「絕對領
[公共事件 | 王都劇情1] 莉娜: 域」就要崩塌了！
[公共事件 | 王都劇情1] 悠真: 喂喂，我們是來拯救世界的，不是來逛免稅店的...
[公共事件 | 王都劇情1] 悠真: 而且拜託，大姐，妳實際年齡都快奔三了吧？
[公共事件 | 王都劇情1] 悠真: 這種年紀還在執著於「美少女」人設。
[公共事件 | 王都劇情1] 悠真: 妳不累我都看累了。認清現實吧。
[公共事件 | 王都劇情1] 悠真: 妳這已經不是化妝品能救的範圍，是需要去做全身
[公共事件 | 王都劇情1] 悠真: 「數值重修」的工程了。
[公共事件 | 王都劇情1] 莉娜: （額頭爆出青筋，指著悠真大叫）
[公共事件 | 王都劇情1] 莉娜: 你這沒禮貌的庶民！誰快奔三了？
[公共事件 | 王都劇情1] 莉娜: 我這是正值綻放的季節！
[公共事件 | 王都劇情1] 莉娜: 你這種只會看像素圖的遊戲宅，根本無法理解保養
[公共事件 | 王都劇情1] 莉娜: 的深奧！
[公共事件 | 王都劇情1] 米勒: （推了推眼鏡，語氣平靜且一本正經地插入） 
[公共事件 | 王都劇情1] 米勒: 根據身分檔案紀錄，姐姐目前的年齡是 22 歲又
[公共事件 | 王都劇情1] 米勒: 4 個月。
[公共事件 | 王都劇情1] 米勒: 按照生物學定義，距離「奔三」還有 7 年 8 個月
[公共事件 | 王都劇情1] 米勒: ，悠真你的數據誤差過大。
[公共事件 | 王都劇情1] 莉娜: （先是一愣，隨即羞憤地反過來對著米勒說教）
[公共事件 | 王都劇情1] 莉娜: 米勒！誰讓你把精確數字報出來的！
[公共事件 | 王都劇情1] 莉娜: 聽好了，在美少女的世界裡，「十八歲」是唯一的
[公共事件 | 王都劇情1] 莉娜: 合法常數！
[公共事件 | 王都劇情1] 莉娜: 不管過了多少年，我的屬性面板永遠都要固定在十
[公共事件 | 王都劇情1] 莉娜: 八歲，這叫「世界觀設定」，懂嗎？
[公共事件 | 王都劇情1] 悠真: （嘆氣） 
[公共事件 | 王都劇情1] 悠真: 懂了懂了，這遊戲的邏輯真混亂，連年齡都能用
[公共事件 | 王都劇情1] 悠真: 「強制覆蓋」的。妳贏了，十八歲的大姐。
[公共事件 | 王都劇情1] ? ? ?: 呵呵，看來各位的感情依舊這麼好。
[公共事件 | 王都劇情1] 黑貓參謀: 各位，看到你們平安抵達阿爾卡迪亞，我真是鬆了
[公共事件 | 王都劇情1] 黑貓參謀: 一口氣。
[公共事件 | 王都劇情1] 黑貓參謀: 莉娜小姐請放心，王都的魔導化妝品確實是世界一
[公共事件 | 王都劇情1] 黑貓參謀: 流水準。
[公共事件 | 王都劇情1] 黑貓參謀: 能保證你的「常數」永遠穩定。
[公共事件 | 王都劇情1] 悠真: 喔，黑貓參謀？你這移動速度快得跟瞬移沒兩樣啊
[公共事件 | 王都劇情1] 悠真: 這種全地圖閃現的能力能不能教一下？
[公共事件 | 王都劇情1] 悠真: ...不過，那個整天大喊大叫的杜賓上校呢？他不
[公共事件 | 王都劇情1] 悠真: 是你的固定掛件嗎？
[公共事件 | 王都劇情1] 黑貓參謀: 他由於還需要鎮守神殿, 因此只有我一個前來王都。
[公共事件 | 王都劇情1] 黑貓參謀: 而我來此是要告訴你們一個好消息的。
[公共事件 | 王都劇情1] 黑貓參謀: 原本負責入侵王都事務的魔王軍四天王名為「數地」
[公共事件 | 王都劇情1] 黑貓參謀: ,外號「幾何幻魔」。
[公共事件 | 王都劇情1] 黑貓參謀: 目前身受重傷，生命值極低。他剛剛遭受了魔王卡
[公共事件 | 王都劇情1] 黑貓參謀: 薩斯的親手制裁，現在正處於極度虛弱的狀態。
[公共事件 | 王都劇情1] 莉娜: （驚訝地張大嘴）
[公共事件 | 王都劇情1] 莉娜: 被魔王制裁？難道是他良心發現，打算背叛魔王投
[公共事件 | 王都劇情1] 莉娜: 靠我們正義的一方？
[公共事件 | 王都劇情1] 黑貓參謀: （表情變得有些尷尬，甚至帶著一絲難以啟齒）
[公共事件 | 王都劇情1] 黑貓參謀: 這個嘛...... 說是背叛也不太準確。
[公共事件 | 王都劇情1] 黑貓參謀: 主要是因為數地他...... 對「幾何學」有著近乎病
[公共事件 | 王都劇情1] 黑貓參謀: 態的強迫症。
[公共事件 | 王都劇情1] 悠真: （挑眉） 
[公共事件 | 王都劇情1] 悠真: 強迫症？
[公共事件 | 王都劇情1] 黑貓參謀: 是的。據探子回報, 就在數日前的酒館會議上，魔
[公共事件 | 王都劇情1] 黑貓參謀: 王卡薩斯大人正在發表要毀滅數學的演講。
[公共事件 | 王都劇情1] 米勒: (挑眉)
[公共事件 | 王都劇情1] 米勒: 魔王軍裡居然還有我們的探子？
[公共事件 | 王都劇情1] 黑貓參謀: 沒錯, 在演講中數地一直盯著魔王大人的頭看。
[公共事件 | 王都劇情1] 黑貓參謀: 最後他實在忍受不了，當眾打斷了魔王大人的演講
[公共事件 | 王都劇情1] 黑貓參謀: ，並拿出量角器大吼道
[公共事件 | 王都劇情1] 黑貓參謀: 「陛下！您的左角比右角歪了 0.5 度！這破壞了
[公共事件 | 王都劇情1] 黑貓參謀: 完美的對稱性！請讓我幫您鋸掉重接！！」
[公共事件 | 王都劇情1] 眾人: （一片死寂）
[公共事件 | 王都劇情1] 悠真: （嘴角瘋狂抽搐）
[公共事件 | 王都劇情1] 悠真: .....哈？
[公共事件 | 王都劇情1] 黑貓參謀: （嘆氣）
[公共事件 | 王都劇情1] 黑貓參謀: 不僅如此，他還試圖強行衝上王座，要把魔王大人
[公共事件 | 王都劇情1] 黑貓參謀: 的披風從「不規則褶皺」燙成「等腰三角形」。
[公共事件 | 王都劇情1] 黑貓參謀: 結果可想而知...... 他被暴怒的卡薩斯大人一巴
[公共事件 | 王都劇情1] 黑貓參謀: 掌拍飛了三百公里。
[公共事件 | 王都劇情1] 黑貓參謀: 直接砸進了這座王都的下水道裡。
[公共事件 | 王都劇情1] 悠真: （抱著頭，一臉崩潰）
[公共事件 | 王都劇情1] 悠真: 喂！這算什麼理由啊！
[公共事件 | 王都劇情1] 悠真: 因為想幫魔王「整容」而被追殺？
[公共事件 | 王都劇情1] 悠真: 這傢伙是哪來的神經病？
[公共事件 | 王都劇情1] 米勒: 原來如此。對於追求極致邏輯的幾何法師來說，0.
[公共事件 | 王都劇情1] 米勒: 5度的誤差確實足以引發精神崩潰。
[公共事件 | 王都劇情1] 米勒: 這是一種為了真理而不畏強權的學術精神，雖然愚
[公共事件 | 王都劇情1] 米勒: 蠢，但在數據層面上值得敬佩。
[公共事件 | 王都劇情1] 悠真: （指著米勒）
[公共事件 | 王都劇情1] 悠真: 你敬佩個鬼啊！這單純就是找死吧！
[公共事件 | 王都劇情1] 黑貓參謀: （咳嗽了一聲，試圖拉回嚴肅的氣氛）
[公共事件 | 王都劇情1] 黑貓參謀: 咳咳......總之，雖然理由很荒謬。
[公共事件 | 王都劇情1] 黑貓參謀: 但事實就是——數地現在身負重傷，戰力十不存一。
[公共事件 | 王都劇情1] 黑貓參謀: 但他極其擅長偽裝，連我也不知道他現在在哪裡。
[公共事件 | 王都劇情1] 黑貓參謀: 為了不打草驚蛇，請各位隱藏身分，自行在王都尋
[公共事件 | 王都劇情1] 黑貓參謀: 找他的蹤跡。這是擊敗這位 Lv.80 強敵的唯一機會。
[公共事件 | 王都劇情1] 莉娜: 原來是個追求完美的變態啊...... 哼，既然他這麼
[公共事件 | 王都劇情1] 莉娜: 在意美感，那本小姐就去會會他。
[公共事件 | 王都劇情1] 莉娜: 讓他見識一下什麼才是「黃金比例」的美貌！
[公共事件 | 王都劇情1] 悠真: 妳只是想順便去買化妝品吧？絕對是吧？
[公共事件 | 王都劇情1] 悠真: 算了...... 既然 Boss 是個殘血的神經病，那我
[公共事件 | 王都劇情1] 悠真: 們就走吧。
[公共事件 | 王都劇情1] 悠真: 希望能在他把我們的頭也鋸成三角形之前找到他。
[公共事件 | 王都劇情2] 魔瞳機人V4: 搜尋模式結束。目標鎖定。
[公共事件 | 王都劇情2] 魔瞳機人V4: 個體名「凱爾」。識別特徵：右眼缺失，左腿輕微
[公共事件 | 王都劇情2] 魔瞳機人V4: 跛行。
[公共事件 | 王都劇情2] 凱爾: 這紅光……不……不可能……
[公共事件 | 王都劇情2] 凱爾: 為什麼你們這群鐵皮怪物總是不肯放過我！
[公共事件 | 王都劇情2] 魔瞳機人V4: 因為你不謹是現在城內為數不多的職業者。
[公共事件 | 王都劇情2] 魔瞳機人V4: 而且最重要的是....
[公共事件 | 王都劇情2] 魔瞳機人V4:  
[公共事件 | 王都劇情2] 魔瞳機人V4: 上次你的運氣導致運算結果偏差了 0.02%。這對數
[公共事件 | 王都劇情2] 魔瞳機人V4: 無大人來說，是不可饒恕的污點。
[公共事件 | 王都劇情2] 凱爾: (拔出斷劍，手在發抖)
[公共事件 | 王都劇情2] 凱爾: 我已經把一隻眼睛給你們了！還不夠嗎？！
[公共事件 | 王都劇情2] 凱爾: (揮舞斷劍格擋，發出金屬碰撞聲)
[公共事件 | 王都劇情2] 凱爾: 滾開！別碰我！！
[公共事件 | 王都劇情2] 獨眼機人C3: 排除障礙。執行打擊。
[公共事件 | 王都劇情2] 凱爾: 嗚呃！！
[公共事件 | 王都劇情2] 凱爾: 可惡……太多了……根本沒地方跑……
[公共事件 | 王都劇情2] 魔瞳機人V4: 你的心跳頻率正在上升。恐懼數據採集完畢。
[公共事件 | 王都劇情2] 魔瞳機人V4: 放棄吧。老鼠再怎麼掙扎，也逃不出迷宮。
[公共事件 | 王都劇情2] 凱爾: 可惡...
[公共事件 | 王都劇情2] 魔瞳機人V4: 壓縮空間。碾碎他！
[公共事件 | 王都劇情2] 魔瞳機人V4: 死亡絞殺場！
[公共事件 | 王都劇情2] 魔瞳機人V4: X4！
[公共事件 | 王都劇情2] 凱爾: 你們這群魔王軍的雜碎...
[公共事件 | 王都劇情2] 凱爾: 轉圈圈誰不會啊！
[公共事件 | 王都劇情2] 凱爾: 看我的....
[公共事件 | 王都劇情2] 凱爾: 老干媽襪旋風爸啦罷巴霸！
[公共事件 | 王都劇情2] 魔瞳機人V4: (不屑)
[公共事件 | 王都劇情2] 魔瞳機人V4: 垂死掙扎
[公共事件 | 王都劇情2] 凱爾: 好機會！
[公共事件 | 王都劇情2] 凱爾: 受死吧！
[公共事件 | 王都劇情2] 凱爾: 魔王軍的爪牙！
[公共事件 | 王都劇情2] 獨眼機人C3: 歪比巴卜
[公共事件 | 王都劇情2] 魔瞳機人V4: 哼, 雕蟲小計
[公共事件 | 王都劇情2] 魔瞳機人V4: 我們可是機械博士數無大人手下的產物。
[公共事件 | 王都劇情2] 魔瞳機人V4: 你未免也太看不起我們了吧
[公共事件 | 王都劇情2] 魔瞳機人V4: 聽著, 凱爾。
[公共事件 | 王都劇情2] 魔瞳機人V4: 在數據的領域中，你的未來已被裁定。
[公共事件 | 王都劇情2] 魔瞳機人V4: 這不是圍毆，這是對誤差的淨化儀式。
[公共事件 | 王都劇情2] 魔瞳機人V4: C3 序列——展開**四象禁錮鎖**！
[公共事件 | 王都劇情2] 魔瞳機人V4: 消失吧！看我的...
[公共事件 | 王都劇情2] 魔瞳機人V4: 奧義毀滅性的爆焰逆風終焉射線 ……發……！！...
[公共事件 | 王都劇情2] ???: 極度歡快、可愛、與現場氣氛完全不搭的電話鈴聲突然響起
[公共事件 | 王都劇情2] 魔瞳機人V4: 這、這個緊急通訊頻率是……？！
[公共事件 | 王都劇情2] 魔瞳機人V4: 喂、喂？這裡是 V4。數地大人？屬下正在執行極
[公共事件 | 王都劇情2] 魔瞳機人V4: 其重要的肅清任……
[公共事件 | 王都劇情2] 數地？: V4——！！！你在哪裡磨蹭什麼啊！！
[公共事件 | 王都劇情2] 魔瞳機人V4: 報、報告大人！屬下捕捉到了代號「殘存之瞳」
[公共事件 | 王都劇情2] 魔瞳機人V4: 的入侵者。
[公共事件 | 王都劇情2] 數地？: 誰管那個啊！我的限定版布丁呢？！
[公共事件 | 王都劇情2] 數地？: 我不是叫你去城西的甜點店排隊買那個每天限量 5 個的皇家焦糖
[公共事件 | 王都劇情2] 數地？: 布丁嗎？！
[公共事件 | 王都劇情2] 魔瞳機人V4: 哎？可、可是大人，現在是戰鬥中……而且那個布
[公共事件 | 王都劇情2] 魔瞳機人V4: 丁不是昨天才吃過……
[公共事件 | 王都劇情2] 數地？: 閉嘴！昨天是原味的！今天是焦糖的！
[公共事件 | 王都劇情2] 數地？: 如果買不到，我就把你拆了
[公共事件 | 王都劇情2] 數地？: 改造成全自動洗馬桶機 V4！聽到沒有！！
[公共事件 | 王都劇情2] 數地？: 現在！立刻！全速飛過來！！
[公共事件 | 王都劇情2] ???: (通話結束。死一般的寂靜。)
[公共事件 | 王都劇情2] 凱爾: 呃……布丁？
[公共事件 | 王都劇情2] 魔瞳機人V4: 咳咳！！
[公共事件 | 王都劇情2] 魔瞳機人V4: 哼……算你走運，獨眼老鼠。
[公共事件 | 王都劇情2] 魔瞳機人V4: 數無大人剛剛下達了……更高優先級的戰略指令。
[公共事件 | 王都劇情2] 魔瞳機人V4: 這項任務關乎世界的存亡……以及布丁的庫存，我
[公共事件 | 王都劇情2] 魔瞳機人V4: 必須親自處理。
[公共事件 | 王都劇情2] 魔瞳機人V4: C3 小隊！維持四象禁錮鎖！
[公共事件 | 王都劇情2] 魔瞳機人V4: 給我把他剁成肉醬！我回來要檢查屍體——當然，是
[公共事件 | 王都劇情2] 魔瞳機人V4: 在完成那個偉大的戰略任務之後！
[公共事件 | 王都劇情2] 凱爾: 我D)@!$*@#$_L@@#$(+!(*LQ&Y$M!Q@)C(
[公共事件 | 王都劇情2] 獨眼機人C3: 指揮官離脫確認。
[公共事件 | 王都劇情2] 獨眼機人C3: 重新執行肅清程序。
[公共事件 | 王都劇情2] 獨眼機人C3: 正式啟動處刑儀式。
[公共事件 | 王都劇情2] 獨眼機人C3: 處刑指令48號-四象....
[公共事件 | 王都劇情2] 莉娜: 慢著！
[公共事件 | 王都劇情2] 莉娜: 既然你們這群廢鐵因為老闆去買甜點而不知所措...
[公共事件 | 王都劇情2] 米勒: 那我們就大發慈悲地，幫你們修正這場戰鬥的
[公共事件 | 王都劇情2] 米勒: 「邏輯錯誤」！
[公共事件 | 王都劇情2] 莉娜: 為了防止這個遊戲的劇本徹底變成搞笑漫畫！
[公共事件 | 王都劇情2] 米勒: 為了守護隊伍的經驗值以及素材掉落的和平！
[公共事件 | 王都劇情2] 莉娜: 貫徹愛與美貌，是全數界最華麗的魔法少女！
[公共事件 | 王都劇情2] 米勒: 冷靜與計算，全地圖最無情的戰術肉盾！
[公共事件 | 王都劇情2] 莉娜: 莉娜！
[公共事件 | 王都劇情2] 米勒: 米勒！
[公共事件 | 王都劇情2] 莉娜: 我們是穿梭在數學村與下水道的……傳說級冒險者！
[公共事件 | 王都劇情2] 米勒: 白色的明天……還有你們變成零件的未來，正等著
[公共事件 | 王都劇情2] 米勒: 我們！
[公共事件 | 王都劇情2] 悠真: (氣喘)
[公共事件 | 王都劇情2] 悠真: 就、就是這樣...
[公共事件 | 王都劇情2] 悠真: 等等！為什麼我是負責喊「喵」的那個角色啊？！
[公共事件 | 王都劇情2] 悠真: 我是主角吧？！
[公共事件 | 王都劇情2] 獨眼機人C3(左上): 語音分析結束……
[公共事件 | 王都劇情2] 獨眼機人C3(左上): 內容邏輯關聯性：0%。戰術價值：負值。
[公共事件 | 王都劇情2] 獨眼機人C3(左上): 無法理解「銀河」與「下水道」在地理座標上的因
[公共事件 | 王都劇情2] 獨眼機人C3(左上): 果關係。
[公共事件 | 王都劇情2] 獨眼機人C3(右下): 掃描目標大腦皮層活動...
[公共事件 | 王都劇情2] 獨眼機人C3(右下): 檢測到前額葉區域有大面積的**運算閒置**區塊。
[公共事件 | 王都劇情2] 獨眼機人C3(右下): 行為模式分析：個體將「開場白」的優先級置於
[公共事件 | 王都劇情2] 獨眼機人C3(右下): 「生存」之上。
[公共事件 | 王都劇情2] 獨眼機人C3(左下): 結論推導
[公共事件 | 王都劇情2] 獨眼機人C3(左下): 目標群體疑似發生集體性「邏輯迴路短路」。
[公共事件 | 王都劇情2] 獨眼機人C3(左下): 或是出廠時的「智力硬體規格」配置過低。
[公共事件 | 王都劇情2] 悠真: 喂！你們剛剛是用很高級的詞彙罵我們笨對吧？！
[公共事件 | 王都劇情2] 悠真: 我聽得懂喔！什麼叫硬體規格過低！！
[公共事件 | 王都劇情2] 獨眼機人C3: 對話無意義。判定為**缺陷生物樣本**。
[公共事件 | 王都劇情2] 獨眼機人C3: 無回收價值。執行垃圾清理程序。
[公共事件 | 王都劇情2] 莉娜: 來就來！誰怕誰！
[公共事件 | 王都劇情3] 凱爾: (凱爾大口喘著氣)
[公共事件 | 王都劇情3] 凱爾: 呼……呼……太感謝你們了！
[公共事件 | 王都劇情3] 凱爾: 如果不是你們及時出手，我這條命今天就交代在這
[公共事件 | 王都劇情3] 凱爾: 裡了。
[公共事件 | 王都劇情3] 凱爾: 這份恩情，我凱爾絕對不會忘記！
[公共事件 | 王都劇情3] 米勒: (雙手抱胸，眼神銳利地掃視四周)
[公共事件 | 王都劇情3] 米勒: 先別急著道謝。有件事在邏輯上完全說不通。
